time_s,ag_g_unscaled,ag_g_after_scale,ag_m_per_s2_after_scale
15.69,-0.00559632,-0.00559632,-0.054899899200000005
15.700000000000001,-0.002377388,-0.002377388,-0.02332217628
15.71,0.0003068052,0.0003068052,0.0030097590120000003
15.72,0.002278699,0.002278699,0.02235403719
15.73,0.003201382,0.003201382,0.03140555742
15.74,0.002735892,0.002735892,0.026839100520000003
15.75,0.0006778055,0.0006778055,0.006649271955000001
15.76,-0.003161818,-0.003161818,-0.03101743458
15.77,-0.008970174,-0.008970174,-0.08799740694
15.780000000000001,-0.01650447,-0.01650447,-0.16190885070000002
15.790000000000001,-0.02502063,-0.02502063,-0.2454523803
15.8,-0.03359915,-0.03359915,-0.32960766150000004
15.81,-0.04149535,-0.04149535,-0.40706938350000005
15.82,-0.04833886,-0.04833886,-0.4742042166
15.83,-0.05415206,-0.05415206,-0.5312317086
15.84,-0.05923209,-0.05923209,-0.5810668029
15.85,-0.06374704,-0.06374704,-0.6253584624
15.860000000000001,-0.06678433,-0.06678433,-0.6551542773000001
15.870000000000001,-0.06652654,-0.06652654,-0.6526253573999999
15.88,-0.06153239,-0.06153239,-0.6036327459
15.89,-0.05154594,-0.05154594,-0.5056656714
15.9,-0.0378575,-0.0378575,-0.37138207500000003
15.91,-0.02316354,-0.02316354,-0.22723432740000002
15.92,-0.01045464,-0.01045464,-0.1025600184
15.93,-0.00185661,-0.00185661,-0.0182133441
15.94,0.00193975,0.00193975,0.0190289475
15.950000000000001,0.001595615,0.001595615,0.01565298315
15.96,-0.001342147,-0.001342147,-0.01316646207
15.97,-0.004852683,-0.004852683,-0.047604820230000004
15.98,-0.006893273,-0.006893273,-0.06762300813000001
15.99,-0.005688988,-0.005688988,-0.05580897228
16.0,-8.342901e-05,-8.342901e-05,-0.0008184385881000001
16.01,0.01009153,0.01009153,0.0989979093
16.02,0.02362936,0.02362936,0.2318040216
16.03,0.03789551,0.03789551,0.3717549531
16.04,0.04988681,0.04988681,0.4893896061
16.05,0.05742582,0.05742582,0.5633472942000001
16.06,0.05968491,0.05968491,0.5855089671
16.07,0.05712289,0.05712289,0.5603755509
16.080000000000002,0.05108643,0.05108643,0.5011578783
16.09,0.04324289,0.04324289,0.4242127509
16.1,0.03505311,0.03505311,0.3438710091
16.11,0.02744363,0.02744363,0.26922201030000004
16.12,0.02073614,0.02073614,0.20342153340000002
16.13,0.01477472,0.01477472,0.1449400032
16.14,0.009150302,0.009150302,0.08976446262000001
16.15,0.003430807,0.003430807,0.03365621667
16.16,-0.002675551,-0.002675551,-0.026247155310000003
16.17,-0.009247515,-0.009247515,-0.09071812215
16.18,-0.01613853,-0.01613853,-0.15831897930000002
16.19,-0.02305052,-0.02305052,-0.22612560120000003
16.2,-0.02967887,-0.02967887,-0.2911497147
16.21,-0.03583102,-0.03583102,-0.3515023062
16.22,-0.04147386,-0.04147386,-0.4068585666
16.23,-0.04671192,-0.04671192,-0.4582439352
16.240000000000002,-0.05168828,-0.05168828,-0.5070620268
16.25,-0.05606542,-0.05606542,-0.5500017702
16.26,-0.05858783,-0.05858783,-0.5747466123
16.27,-0.05778261,-0.05778261,-0.5668474041
16.28,-0.05285384,-0.05285384,-0.5184961704000001
16.29,-0.04399442,-0.04399442,-0.43158526020000004
16.3,-0.03219106,-0.03219106,-0.3157942986
16.31,-0.01878445,-0.01878445,-0.18427545450000002
16.32,-0.005020735,-0.005020735,-0.049253410350000006
16.330000000000002,0.008045682,0.008045682,0.07892814042
16.34,0.01869624,0.01869624,0.1834101144
16.35,0.02452218,0.02452218,0.24056258580000003
16.36,0.02388079,0.02388079,0.2342705499
16.37,0.01763933,0.01763933,0.17304182730000003
16.38,0.008970442,0.008970442,0.08800003602
16.39,0.00168137,0.00168137,0.0164942397
16.4,-0.001356593,-0.001356593,-0.01330817733
16.41,0.000967683,0.000967683,0.00949297023
16.42,0.008017877,0.008017877,0.07865537337
16.43,0.01804248,0.01804248,0.1769967288
16.44,0.02900143,0.02900143,0.28450402830000004
16.45,0.03915164,0.03915164,0.38407758840000006
16.46,0.04722658,0.04722658,0.4632927498
16.47,0.05218042,0.05218042,0.5118899202
16.48,0.05316878,0.05316878,0.5215857318
16.490000000000002,0.0498903,0.0498903,0.489423843
16.5,0.04273738,0.04273738,0.4192536978
16.51,0.03260227,0.03260227,0.31982826870000003
16.52,0.02051388,0.02051388,0.20124116280000004
16.53,0.007370798,0.007370798,0.07230752838
16.54,-0.006163698,-0.006163698,-0.06046587738
16.55,-0.01928798,-0.01928798,-0.18921508380000002
16.56,-0.03065559,-0.03065559,-0.3007313379
16.57,-0.03885073,-0.03885073,-0.38112566130000003
16.580000000000002,-0.04303922,-0.04303922,-0.42221474820000005
16.59,-0.04326121,-0.04326121,-0.42439247010000003
16.6,-0.04032023,-0.04032023,-0.3955414563
16.61,-0.03542627,-0.03542627,-0.34753170870000005
16.62,-0.02979137,-0.02979137,-0.2922533397
16.63,-0.02432013,-0.02432013,-0.2385804753
16.64,-0.01946835,-0.01946835,-0.1909845135
16.65,-0.01527337,-0.01527337,-0.1498317597
16.66,-0.01149585,-0.01149585,-0.11277428850000001
16.67,-0.007800388,-0.007800388,-0.07652180628000001
16.68,-0.003903491,-0.003903491,-0.03829324671
16.69,0.0004429265,0.0004429265,0.004345108965
16.7,0.005552275,0.005552275,0.05446781775
16.71,0.01148723,0.01148723,0.1126897263
16.72,0.01787687,0.01787687,0.1753720947
16.73,0.02412978,0.02412978,0.2367131418
16.740000000000002,0.02972235,0.02972235,0.29157625350000005
16.75,0.03438392,0.03438392,0.3373062552
16.76,0.03813764,0.03813764,0.37413024840000003
16.77,0.04121884,0.04121884,0.40435682040000004
16.78,0.04383304,0.04383304,0.43000212239999996
16.79,0.04593197,0.04593197,0.4505926257
16.8,0.0472953,0.0472953,0.463966893
16.81,0.0477212,0.0477212,0.468144972
16.82,0.04715577,0.04715577,0.46259810370000004
16.830000000000002,0.04571555,0.04571555,0.4484695455
16.84,0.04362406,0.04362406,0.42795202860000003
16.85,0.04113334,0.04113334,0.4035180654
16.86,0.03846411,0.03846411,0.37733291910000005
16.87,0.03576939,0.03576939,0.3508977159
16.88,0.03312404,0.03312404,0.3249468324
16.89,0.03053793,0.03053793,0.29957709330000004
16.9,0.02798107,0.02798107,0.27449429670000003
16.91,0.0254114,0.0254114,0.249285834
16.92,0.02279667,0.02279667,0.22363533270000002
16.93,0.02012724,0.02012724,0.1974482244
16.94,0.01746219,0.01746219,0.1713040839
16.95,0.01499613,0.01499613,0.1471120353
16.96,0.01298402,0.01298402,0.12737323620000002
