time_s,ag_g,ag_m_per_s2,roof_total_m,roof_total_in,base_total_kN,base_total_kip,D_mode_1_m,D_mode_1_in,Ddot_mode_1_m_per_s,Dddot_mode_1_m_per_s2,roof_mode_1_m,roof_mode_1_in,base_mode_1_kN,base_mode_1_kip,D_mode_2_m,D_mode_2_in,Ddot_mode_2_m_per_s,Dddot_mode_2_m_per_s2,roof_mode_2_m,roof_mode_2_in,base_mode_2_kN,base_mode_2_kip,D_mode_3_m,D_mode_3_in,Ddot_mode_3_m_per_s,Dddot_mode_3_m_per_s2,roof_mode_3_m,roof_mode_3_in,base_mode_3_kN,base_mode_3_kip,D_mode_4_m,D_mode_4_in,Ddot_mode_4_m_per_s,Dddot_mode_4_m_per_s2,roof_mode_4_m,roof_mode_4_in,base_mode_4_kN,base_mode_4_kip,D_mode_5_m,D_mode_5_in,Ddot_mode_5_m_per_s,Dddot_mode_5_m_per_s2,roof_mode_5_m,roof_mode_5_in,base_mode_5_kN,base_mode_5_kip
25.47,0.0427258,0.419140098,-0.022240431168293835,-0.875607526310781,-228.232906442289,-51.3087984778661,-0.017789504428626004,-0.700374190103386,-0.21496436184536827,2.0478319354541634,-0.0222671529194872,-0.8766595637593386,-221.9870122903483,-49.904665614855645,-0.0002436611917452678,-0.009592960304931803,-0.08242739072447029,0.10987283206102383,8.824151226324374e-05,0.003474075285954478,-2.567839179679272,-0.5772732120337247,-0.0004241588730355407,-0.0166991682297457,-0.009390554725920862,0.7532410559701203,-6.726245879301929e-05,-0.0026481282989377674,-3.0855627316472187,-0.6936620965694669,-0.00012278841476815312,-0.004834189557801304,-0.0038646712014611976,0.1434076602889952,7.756851266854352e-06,0.0003053878451517461,-0.457114561503294,-0.10276344144704314,-0.0001339130771338683,-0.005272168391097177,-0.0016975563892043881,0.3555004905070721,-2.0141535437130068e-06,-7.92973836107483e-05,-0.13537767911088838,-0.030434112960210574
25.48,0.04007774,0.3931626294,-0.024512828627474715,-0.965071993207666,-262.5923622476907,-59.033111422959664,-0.01983033010882223,-0.7807216578276468,-0.1932007741938768,2.304885594844129,-0.024821657890959064,-0.9772306256283096,-247.45353369738498,-55.629767376797716,-0.0010409758242578284,-0.04098330016763104,-0.07703553577804183,0.9684981572246709,0.0003769877357327315,0.01484203683987132,-10.970390842636476,-2.4662419707238485,-0.00047728307608074013,-0.018790672286643315,-0.0012342858831190188,0.8780127125902485,-7.568681283910406e-05,-0.002979795781067089,-3.47201712759473,-0.780540500878664,-0.00015089137544817532,-0.005940605332605328,-0.0017559209345432414,0.27834239309459596,9.53218558129105e-06,0.00037528289690122246,-0.5617357716756768,-0.1262832251317092,-0.0001332277023385853,-0.005245185131440366,0.0018346313482609873,0.35093705698600297,-2.003844990566171e-06,-7.889153506166028e-05,-0.13468480839883867,-0.030278349427729934
25.490000000000002,0.03195521,0.3134806101,-0.026518361756384865,-1.044029990408853,-292.33025869208643,-65.71845649263291,-0.02164012244379034,-0.8519733245586748,-0.1687576927997452,2.58373068398219,-0.02708697803165976,-1.0664164579393607,-270.0370966581984,-60.70675429744394,-0.0017433010424226778,-0.06863389930797945,-0.06342950785492805,1.752707427398084,0.0006313336941825655,0.024855657251282106,-18.371890437885494,-4.1301652720847155,-0.0004468504544443006,-0.017592537576547267,0.007320810210406926,0.8330065061149404,-7.086085471606594e-05,-0.002789797429766376,-3.250633657585721,-0.7307715169661922,-0.00015284397225276213,-0.0060174792225496905,0.001365401573625879,0.3459221085392281,9.655536005074218e-06,0.00038013921279819756,-0.5690048648861946,-0.12791738229365898,-0.00010053354219429659,-0.003958013472216401,0.004704200680596755,0.2229768094811505,-1.512100196683863e-06,-5.95315038064513e-05,-0.10163307353063805,-0.022848023844397904
25.5,0.02050111,0.2011158891,-0.028251659267449564,-1.1122700498995892,-316.3286969415247,-71.11352003153279,-0.023191610462542565,-0.9130555300213609,-0.14153991095069995,2.859825685826862,-0.029028978220867748,-1.1428731583018799,-289.3973993169318,-65.05912347624432,-0.0022746660848357468,-0.08955378286754909,-0.04284350062768574,2.3644940180503777,0.000823766697446256,0.03243175974197859,-23.97171519802486,-5.389055957955236,-0.0003373697579640772,-0.013282273935593591,0.01457532908563775,0.6178972689312244,-5.3499575007518986e-05,-0.002106282480610984,-2.4542114243866697,-0.5517286764596023,-0.00012289756285976638,-0.004838486726762456,0.004623880304973272,0.30577363773025046,7.763746424791716e-06,0.000305659308062666,-0.4575208961084839,-0.10285478910018071,-4.7332433141812836e-05,-0.0018634816197564109,0.005936021129899997,0.023387280379497777,-7.119154453439852e-07,-2.8028167139526977e-05,-0.047850106072943904,-0.010757131773467559
25.51,0.007675982,0.07530138342,-0.02970360111230972,-1.1694331146578631,-333.806615958916,-75.04271253341486,-0.024457746208689957,-0.9629033940429117,-0.11168723827877843,3.1107088485574446,-0.030613802485613753,-1.2052678143942424,-305.19692271394075,-68.61099763260505,-0.002575782131602067,-0.10140874533866405,-0.017379708725578286,2.728264362371114,0.000932815393888519,0.03672501550742201,-27.145046071843463,-6.102449117804078,-0.00016928668460415144,-0.006664830102525648,0.019041285586347403,0.2752940312107063,-2.6845220909570575e-05,-0.0010568984610067156,-1.2314835741628323,-0.2768485207522003,-6.494774147342014e-05,-0.0025569976958039428,0.006966083972295975,0.16266709573429017,4.102911269590662e-06,0.00016153193974766385,-0.24178631526686903,-0.05435572599111822,8.529430259833957e-06,0.00033580434093834476,0.005236351550429363,-0.16332119627362462,1.282890554932412e-07,5.0507502162693385e-06,0.00862271629797734,0.0019384637375969341
25.52,-0.005118546,-0.05021293626,-0.030860641479071176,-1.2149858850028024,-344.3849133213564,-77.42080838325954,-0.025413852973135368,-1.0005453926431247,-0.07953411461030385,3.319915885137468,-0.03181056294719264,-1.2523843679997102,-317.127737589722,-71.29315151514774,-0.0026113374348376143,-0.10280856042667773,0.010268648078468806,2.8014069984383045,0.0009456916902901343,0.03723195631063521,-27.51974792748022,-6.186685445947277,2.5052483956540732e-05,0.0009863182660055406,0.019826548125791033,-0.11824152332198035,3.9727842016602165e-06,0.00015640882683701641,0.18224541733213914,0.04097039965520386,7.912528504187818e-06,0.00031151687024361487,0.007605970023225614,-0.03468988554836239,-4.998542156246588e-07,-1.967929982774247e-05,0.029456622633361258,0.0066221122014929554,5.031981012646858e-05,0.001981094886868842,0.00312172442289756,-0.25960422923273596,7.568478452920203e-07,2.9797159263465368e-05,0.05087015588038496,0.011436065978786866
25.53,-0.01718376,-0.1685726856,-0.03170435445475448,-1.2482029312895466,-348.07471221497275,-78.25030817278392,-0.026039233268040717,-1.0251666640960913,-0.045541944370765815,3.478518162770137,-0.03259335252491034,-1.283202855311431,-324.93156954964456,-73.04752273018568,-0.0023741415012405818,-0.0934701378441174,0.0371705386409377,2.5789711140554736,0.0008597915609614736,0.03385006145517613,-25.020043287654698,-5.6247294878066585,0.00020858487663608585,0.008212003017168734,0.01687993041011799,-0.4710820198126283,3.307706748929935e-05,0.0013022467515472185,1.5173600333467765,0.3411161053984303,7.776485218460918e-05,0.003061608353724771,0.006364494712858659,-0.21360517652502864,-4.912600210075992e-06,-0.000193409457089606,0.2895016307023439,0.06508255562383664,6.92812322073589e-05,0.0027276075672188543,0.0006705599932805035,-0.23062865669067534,1.0420419151727746e-06,4.102527225089664e-05,0.07003895827738155,0.015745384186142866
25.54,-0.02844957,-0.2790902817,-0.03221138746634341,-1.2681648608796618,-345.20450501384425,-77.60505992542105,-0.026318079072011072,-1.0361448453547666,-0.01022721642330525,3.584427426721976,-0.0329423842915274,-1.2969442634459607,-328.4111575933381,-73.8297652407108,-0.001885654465850938,-0.07423836479728102,0.06052686843699105,2.0922948451551964,0.0006828867596058512,0.026885305496293355,-19.872091169164477,-4.4674238129209565,0.0003481034262406277,0.013704859300812115,0.01102377951079038,-0.7001481600528937,5.5201703540119367e-05,0.0021732954149653295,2.5322939753208646,0.569282332209648,0.00012838826200938685,0.00505465598462153,0.0037601872520968737,-0.30725631562732847,-8.110607622853995e-06,-0.00031931526074228326,0.4779615748065873,0.10745003647454211,6.774724956771919e-05,0.0026672145499102044,-0.0009773565212084438,-0.09895464620711408,1.0189696608735482e-06,4.011691578242316e-05,0.06848819853086911,0.015396759526527831
25.55,-0.03924719,-0.3850149339,-0.03235404699313792,-1.2737813776825953,-336.31528881194663,-75.60668462608761,-0.026239737172567404,-1.033060518605016,0.025895596312038846,3.6401351203468435,-0.03284432360288291,-1.2930836064127131,-327.433565200901,-73.6099937281847,-0.0011930152397762156,-0.04696910392819746,0.07800097677795342,1.4025268230372792,0.00043204856775471367,0.017009786132075343,-12.572668026078158,-2.8264482108861544,0.0004220197773160344,0.016614951862836,0.003759490704290961,-0.7527096012469902,6.692324429855894e-05,0.002634773397581061,3.0700017839666978,0.6901638563677791,0.00015126163736713547,0.00595518257350927,0.0008144878194528509,-0.2818835709014761,-9.555575952773385e-06,-0.0003762037776682435,0.5631141762674,0.12659310281113828,5.720282973394347e-05,0.002252079910785176,-0.0011315274455467005,0.06812046133946276,8.603736444937132e-07,3.387297812967375e-05,0.05782845479844502,0.013000353804327807
25.560000000000002,-0.05002475,-0.49074279750000005,-0.032101700886454025,-1.2638464915926781,-322.0553281963798,-72.40091795145854,-0.025798531207467123,-1.0156902050183907,0.062345596708017356,3.649864958848858,-0.03229206534671311,-1.271341155382406,-321.9279596687037,-72.3722843673675,-0.0003631731555284961,-0.014298155729468352,0.08796744007159045,0.5907658356901262,0.00013152257947893382,0.005178054310194245,-3.827323715746941,-0.8604165994375267,0.0004252893022417859,0.016743673316605746,-0.003105585719140662,-0.6203056834393345,6.744172051011914e-05,0.0026551858468550843,3.0937860895710863,0.6955107809730622,0.0001486033782709,0.00585052670357874,-0.0013461396386999433,-0.1502419207290827,-9.3876470770957e-06,-0.00036959240461006694,0.5532180558277624,0.12436836643431591,5.23781845591396e-05,0.002062133250359827,0.0001665984105859254,0.19150470988706242,7.878073471314717e-07,3.1016037288640616e-05,0.05295104267202839,0.011903867939126372
25.57,-0.06095628,-0.5979811068,-0.03142310514737642,-1.2371301239124577,-303.0998738302654,-68.13956228943756,-0.024993436151063315,-0.9839935492544613,0.09867341457274414,3.615698614096499,-0.03128432649667414,-1.231666397506856,-311.88155017495626,-70.11376166713124,0.0005249070538505787,0.02066563204136137,0.08964860180422451,-0.25453348916331286,-0.00019009425299799945,-0.007484025708582656,5.531766831283715,1.2435906548149265,0.00037017019212675435,0.014573629611289543,-0.007918236303865643,-0.34222443350566156,5.8701017182878946e-05,0.0023110636686172813,2.6928196527372874,0.605369940089999,0.000132201350763461,0.005204777589112638,-0.0019342658627878578,0.03261667591149986,-8.351489976360358e-06,-0.00032879881796694325,0.49215687488504245,0.11064126688216284,6.423049937804674e-05,0.002528759818033336,0.002203864553195503,0.21594851863485315,9.660750891970176e-07,3.8034452330591245e-05,0.0649329857848077,0.014597515906591146
25.580000000000002,-0.07137669,-0.7002053289000001,-0.030289740223938957,-1.192509457635392,-280.11209114418176,-62.97170315957328,-0.023828007571815375,-0.9381105343234399,0.13441230127684403,3.532078726723479,-0.02982555756384789,-1.174234549757791,-297.3387050168454,-66.8444000174736,0.0013887259998031714,0.05467425196075478,0.08311518738629402,-1.052149394422786,-0.0005029249075906521,-0.0198001932122304,14.635178489407965,3.2901190082794223,0.0002824623911882428,0.011120566582214284,-0.009623323883836667,0.001206917511456962,4.479244961188144e-05,0.0017634822681843086,2.054785323963672,0.4619341169770694,0.00011837447571270621,0.004660412429634103,-0.0008311091473631016,0.1880146671734514,-7.478011697024336e-06,-0.0002944099093316668,0.44068242643873906,0.09906935053030885,9.49293938633768e-05,0.003737377711156567,0.003935914343870507,0.1304614395001477,1.427809584730173e-06,5.6212975776778466e-05,0.0959676328532152,0.021574382113512366
25.59,-0.0797799,-0.782640819,-0.028680127739493848,-1.1291388873816477,-253.74844008087592,-57.04491862778193,-0.022310933981014622,-0.8783832275990009,0.16900241688330653,3.3859443945690204,-0.027926633972580373,-1.0994737784480462,-278.40784411526033,-62.58857318622063,0.0021501694235864285,0.08465233951127671,0.06917349737035738,-1.7361886087645413,-0.0007786804299874251,-0.030656709842024614,22.659699106313916,5.094103007047886,0.00019401016611317234,0.007638195516266628,-0.008067121131177428,0.3100336330203909,3.076583241138667e-05,0.0012112532445427823,1.4113356484454136,0.317280875485958,0.000120891741430074,0.004759517379136772,0.0013345622908366595,0.24511962046650082,-7.637033668320586e-06,-0.0003006706168630152,0.45005365919513995,0.10117608746181672,0.0001368192339320664,0.0053865840130734805,0.004442053669867413,-0.029233574300766507,2.0578643308814985e-06,8.101828074336608e-05,0.1383156204299359,0.031094588443034612
25.6,-0.0846055,-0.829979955,-0.02658462883891349,-1.0466389306658854,-224.68960808659588,-50.512233319435786,-0.020457145531123096,-0.805399430359177,0.20175527309499855,3.1646268477693864,-0.025606243820076167,-1.0081198354360696,-255.27527394947302,-57.38816453607009,0.0027421260675393115,0.1079577191944611,0.0492178314202192,-2.2549445812630946,-0.000993056585182814,-0.039096715952079295,28.898072366027677,6.496545106225632,0.0001335128661595945,0.005256412053527343,-0.0040323388595381385,0.4969228213074671,2.1172264048440986e-05,0.000833553702694527,0.971245328593961,0.2183446358117394,0.00014472438437460722,0.005697810408449104,0.003431966298069985,0.1743611809801643,-9.142601330920117e-06,-0.0003599449342881936,0.5387774052393022,0.12112197903785195,0.00017564968937776285,0.006915342101486727,0.003324037419271879,-0.19436967581834025,2.6419036279678857e-06,0.00010401195385700338,0.17757076301621316,0.03991949555908404
