time_s,ag_g_unscaled,ag_g_after_scale,ag_m_per_s2_after_scale
17.72,-0.01829611,-0.01829611,-0.17948483910000002
17.740000000000002,-0.02326251,-0.02326251,-0.22820522310000002
17.76,-0.02378681,-0.02378681,-0.2333486061
17.78,-0.02241288,-0.02241288,-0.2198703528
17.8,-0.01589306,-0.01589306,-0.1559109186
17.82,-0.009958714,-0.009958714,-0.09769498434000001
17.84,-0.01428557,-0.01428557,-0.1401414417
17.86,-0.01962223,-0.01962223,-0.1924940763
17.88,-0.02466308,-0.02466308,-0.24194481480000002
17.900000000000002,-0.02687752,-0.02687752,-0.2636684712
17.92,-0.02622575,-0.02622575,-0.25727460750000003
17.94,-0.02636551,-0.02636551,-0.25864565310000004
17.96,-0.02411234,-0.02411234,-0.2365420554
17.98,-0.02075146,-0.02075146,-0.2035718226
18.0,-0.01334117,-0.01334117,-0.1308768777
18.02,-0.004292772,-0.004292772,-0.04211209332
18.04,0.002068953,0.002068953,0.020296428930000002
18.06,0.002264777,0.002264777,0.02221746237
18.080000000000002,-0.001656117,-0.001656117,-0.01624650777
18.1,-0.0007503722,-0.0007503722,-0.007361151282
18.12,0.006142773,0.006142773,0.06026060313
18.14,0.01051651,0.01051651,0.10316696310000001
18.16,0.01502592,0.01502592,0.14740427520000002
18.18,0.02150495,0.02150495,0.2109635595
18.2,0.02136315,0.02136315,0.2095725015
18.22,0.01813688,0.01813688,0.1779227928
18.240000000000002,0.0179094,0.0179094,0.175691214
18.26,0.02084597,0.02084597,0.2044989657
18.28,0.019675,0.019675,0.19301175000000004
18.3,0.01301336,0.01301336,0.12766106160000001
18.32,0.005522471,0.005522471,0.054175440510000006
18.34,0.004819678,0.004819678,0.047281041180000004
18.36,0.008990444,0.008990444,0.08819625564000001
18.38,0.01362225,0.01362225,0.1336342725
18.400000000000002,0.01518998,0.01518998,0.1490137038
18.42,0.01301533,0.01301533,0.1276803873
18.44,0.01501961,0.01501961,0.1473423741
18.46,0.01640986,0.01640986,0.16098072659999998
18.48,0.01319685,0.01319685,0.1294610985
18.5,0.01492982,0.01492982,0.1464615342
18.52,0.01770624,0.01770624,0.17369821440000002
18.54,0.0176593,0.0176593,0.173237733
18.56,0.01815399,0.01815399,0.17809064189999999
18.580000000000002,0.01296116,0.01296116,0.1271489796
18.6,0.003091631,0.003091631,0.03032890011
18.62,-0.00775098,-0.00775098,-0.0760371138
18.64,-0.01327633,-0.01327633,-0.1302407973
18.66,-0.01327533,-0.01327533,-0.13023098730000002
18.68,-0.01484206,-0.01484206,-0.14560060860000001
18.7,-0.01269293,-0.01269293,-0.12451764330000001
18.72,-0.005981339,-0.005981339,-0.05867693559
18.740000000000002,-1.63908e-05,-1.63908e-05,-0.000160793748
18.76,0.005098898,0.005098898,0.05002018938
18.78,0.003599486,0.003599486,0.03531095766
18.8,0.001473796,0.001473796,0.014457938760000002
18.82,0.001265704,0.001265704,0.012416556240000001
18.84,0.002180634,0.002180634,0.02139201954
18.86,0.006680863,0.006680863,0.06553926603
18.88,0.01009582,0.01009582,0.09903999420000001
18.900000000000002,0.01091894,0.01091894,0.1071148014
18.92,0.006411551,0.006411551,0.06289731531000001
18.94,3.654082e-05,3.654082e-05,0.00035846544420000006
18.96,0.0003884306,0.0003884306,0.003810504186
18.98,0.00358816,0.00358816,0.0351998496
19.0,0.00938991,0.00938991,0.0921150171
19.02,0.01645034,0.01645034,0.1613778354
