time_s,ag_g,ag_m_per_s2,roof_total_m,roof_total_in,base_total_kN,base_total_kip,D_mode_1_m,D_mode_1_in,roof_mode_1_m,roof_mode_1_in,base_mode_1_kN,base_mode_1_kip,D_mode_2_m,D_mode_2_in,roof_mode_2_m,roof_mode_2_in,base_mode_2_kN,base_mode_2_kip,D_mode_3_m,D_mode_3_in,roof_mode_3_m,roof_mode_3_in,base_mode_3_kN,base_mode_3_kip,D_mode_4_m,D_mode_4_in,roof_mode_4_m,roof_mode_4_in,base_mode_4_kN,base_mode_4_kip,D_mode_5_m,D_mode_5_in,roof_mode_5_m,roof_mode_5_in,base_mode_5_kN,base_mode_5_kip
4.12,-0.0002021827,-0.001983412287,4.2198378402552346e-05,0.0016613534804154468,-0.61321508429217,-0.1378562349925226,7.23948775405433e-06,0.0002850192029155248,9.061679122375272e-06,0.0003567590205659556,0.09033822518681645,0.020308840925751852,-9.13036188479035e-05,-0.0035946306633032874,3.3065460053518273e-05,0.0013017897658865463,-0.9622090741854988,-0.21631320500859294,1.8716708594261448e-05,0.0007368782911126554,2.96806673299741e-06,0.00011685302098415,0.13615553550547854,0.03060898203416174,3.980585966710769e-05,0.0015671598294136888,-2.5146357135568635e-06,-9.900140604554582e-05,0.14818855770186987,0.03331411303642783,-2.5410415797975676e-05,-0.001000410070786444,-3.821917927817484e-07,-1.5046920975659387e-05,-0.02568832850083601,-0.005774965980271114
4.14,0.003224077,0.03162819537,1.6822137394583536e-05,0.0006622888738025014,0.24684787893963026,0.055493610770823563,1.6239386156079072e-05,0.0006393459116566565,2.032686724393172e-05,0.0008002703639343197,0.20264380206209426,0.045556138967286344,7.697243386001207e-06,0.00030304107818902393,-2.787544425002545e-06,-0.00010974584350403721,0.08111789571629603,0.018236028402453044,-1.4668622071793153e-06,-5.775048059761084e-05,-2.3261274262478716e-07,-9.157981993101857e-06,-0.010670754867257087,-0.0023988811237841572,7.939218345755562e-07,3.125676514076993e-05,-5.0154027967042235e-08,-1.974568030198513e-06,0.002955598310843432,0.0006644449324880016,-2.8882772552326367e-05,-0.0011371170296191483,-4.3441865375380806e-07,-1.7103096604480632e-05,-0.02919866228234632,-0.006564120407619657
4.16,0.005844534,0.05733487854,-1.7581286592818196e-05,-0.0006921766375125274,0.7180157726416985,0.16141636697650227,1.2662252869881445e-05,0.0004985138925150175,1.584936343168514e-05,0.0006239906862868166,0.15800640735819366,0.03552125344117783,8.773023233807738e-05,0.0034539461550424167,-3.177136382395629e-05,-0.00125084109543135,0.924550710051494,0.20784726796876327,-2.7900298839904425e-05,-0.0010984369622009616,-4.424386286208256e-06,-0.00017418843646489196,-0.20296197433317825,-0.04562766693927237,-4.3598813748171926e-05,-0.0017164887302429893,2.754246109410384e-06,0.00010843488619725922,-0.162308900772033,-0.03648849243823653,7.216378132756024e-07,2.841093753053553e-05,1.0853976250828412e-08,4.273218996389139e-07,0.000729530337222008,0.000164004944070055
4.18,0.007536793,0.07393593933,-6.057870100464518e-05,-0.002384988228529338,0.504076248743338,0.1133208487216566,-1.2969381170135495e-05,-0.0005106055578793502,-1.6233796446955328e-05,-0.00063912584436832,-0.16183891961488697,-0.036382836471021744,0.0001109977697438025,0.004369990934795375,-4.0197665413539036e-05,-0.0015825852525015369,1.169757153215968,0.2629718692978079,-4.653041694297314e-05,-0.0018319061788572102,-7.378721632887995e-06,-0.00029050085168850375,-0.33848760342970385,-0.07609504037938566,-4.8006255907041035e-05,-0.001890010075080356,3.0326752540342e-06,0.00011939666354465354,-0.17871684930371423,-0.04017714600607823,1.3217904185433666e-05,0.0005203899285603806,1.9880723470297243e-07,7.827056484368994e-06,0.01336246787567503,0.0030040022803343373
4.2,0.003899549,0.03825457569,-0.00010838277661852208,-0.004267038449548113,-0.4058559314571185,-0.09124004300162336,-6.118895947281162e-05,-0.0024090141524728986,-7.65903245383793e-05,-0.0030153671078102084,-0.7635487741112849,-0.17165259291303755,7.000373673955069e-05,0.002756052627541366,-2.535174169399062e-05,-0.000998100066692544,0.7377388932403213,0.16585030087290678,-4.4731071707633344e-05,-0.0017610658152611553,-7.093384245318321e-06,-0.0002792670962723749,-0.3253981858730275,-0.07315242225267846,-1.2362722183448246e-05,-0.00048672134580504906,7.809840807173676e-07,3.074740475265227e-05,-0.04602372577693463,-0.010346545149423576,-8.530837507042871e-06,-0.0003358597443717666,-1.2831022155120491e-07,-5.051583525637989e-06,-0.008624138936192783,-0.0019387835593905611
4.22,0.01020322,0.10009358820000001,-0.0001621594638571482,-0.006384230860517646,-1.9529604341172488,-0.4390429711094505,-0.000129836017277811,-0.005111654223535866,-0.00016251596343122506,-0.006398266276819884,-1.6201637138806684,-0.36422729216601485,-1.6840770529862684e-05,-0.0006630224618056175,6.098858207945267e-06,0.0002401125278718609,-0.17747754606641958,-0.039898539555121966,-2.608638244338277e-05,-0.0010270229308418414,-4.136738226409689e-06,-0.00016286370970116886,-0.1897665582114411,-0.04266121938718376,1.7865439280654535e-05,0.0007033637512068715,-1.1286044825867167e-06,-4.4433247345933726e-05,0.06650914467997701,0.014951850521971365,-3.1714896086677674e-05,-0.0012486179561684125,-4.770159248720295e-07,-1.8780154522520847e-05,-0.03206176063869675,-0.007207770523101315
4.24,0.00730038,0.0716167278,-0.00023569520950748245,-0.009279338956987498,-4.1136918483968925,-0.9247947166759999,-0.0002209211501735372,-0.008697683077698314,-0.00027652737903970364,-0.010886904686602505,-2.7567730329719295,-0.6197472319082028,-0.00011961644539640848,-0.004709308873874349,4.3318905065389016e-05,0.0017054687033617724,-1.2605856222847984,-0.2833909214325364,-1.1447382581038992e-05,-0.0004506843535842123,-1.8153082443722556e-06,-7.146882851859274e-05,-0.08327449762910376,-0.018720851799158163,4.024450579466593e-06,0.00015844293619947218,-2.5423460865319963e-07,-1.0009236561149593e-05,0.014982154182852793,0.003368122247204043,-2.773748591807814e-05,-0.0010920270046487458,-4.1719268014234217e-07,-1.6424908667021347e-05,-0.02804084969391441,-0.00630383378330674
4.26,0.008558115,0.08395510815,-0.00034197811671533417,-0.013463705382493472,-6.48013229529847,-1.4567916924523503,-0.0003311820248271143,-0.01303866239476828,-0.0004145411031880183,-0.016320515873544026,-4.1326675799544645,-0.9290606308320015,-0.00020044193143856887,-0.007891414623565704,7.258972602249963e-05,0.002857863229232269,-2.112370218301453,-0.4748797162116544,-1.3596275149971685e-05,-0.0005352864232272317,-2.1560763080792467e-06,-8.488489401886798e-05,-0.09890671292984743,-0.022235113599225472,-3.505007359404577e-05,-0.0013799241572458967,2.2142008126309615e-06,8.717326033980164e-05,-0.13048380054301278,-0.029333925291708134,-5.642274241626139e-06,-0.00022213678116638343,-8.48640543672318e-08,-3.3411045026469215e-06,-0.005703983569692092,-0.001282306517760593
4.28,0.01804725,0.17704352250000002,-0.0004961136131822035,-0.019532032015047385,-8.77541820173752,-1.9727924911905739,-0.00046352945106948294,-0.018249190986987518,-0.0005802006014873193,-0.022842543365642492,-5.784170006777819,-1.3003331459327667,-0.00023815112569276656,-0.009376028570581361,8.624605062382363e-05,0.0033955138040875446,-2.509770993314062,-0.5642189644292449,-3.627221444863114e-05,-0.001428039938922486,-5.751991729472039e-06,-0.0002264563673020488,-0.26386384963738363,-0.059318953159201146,-5.7612833663014737e-05,-0.002268221797756486,3.639546797878631e-06,0.00014328924401096972,-0.21448004884302582,-0.04821703309637492,-3.099405095470035e-06,-0.00012202382265630059,-4.6617387114497646e-08,-1.835330201358175e-06,-0.0031333031652296724,-0.0007043945729862602
4.3,0.02294434,0.22508397540000002,-0.0007165256690445296,-0.02820967200962715,-11.295996503945618,-2.5394410353100394,-0.0006350930982389017,-0.025003665284996132,-0.0007949471101533538,-0.031297130320998186,-7.925033548287742,-1.781618416020316,-0.0002427382216440765,-0.00955662289937309,8.790726011205169e-05,0.00346091575244298,-2.558112399757793,-0.5750865449198136,-7.833979648840631e-05,-0.0030842439562364693,-1.2423003898148852e-05,-0.0004890946416594037,-0.5698863605505666,-0.12811555040231343,-5.5263192865589326e-05,-0.002175716254550761,3.491114112021617e-06,0.00013744543748116602,-0.2057328472048796,-0.046250583941023216,-3.68285557016147e-05,-0.0014499431378588465,-5.539292171001757e-07,-2.1808236893707706e-05,-0.037231348144636967,-0.008369940026573205
